root@ubuntu-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
00:19:00.793573 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 4126503697:4126503805, ack 2999390586, win 501, length 108
00:19:00.818461 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 3640:3804, ack 1, win 501, length 164
00:19:00.818495 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 3804:3840, ack 1, win 501, length 36
00:19:00.818530 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 3840:4004, ack 1, win 501, length 164
00:19:00.832378 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 4004, win 513, length 0
00:19:00.832421 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 4004:6440, ack 1, win 501, length 2436
00:19:00.832547 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 6440:6588, ack 1, win 501, length 148
00:19:00.832579 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 6588:6624, ack 1, win 501, length 36
00:19:00.832614 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 6624:6788, ack 1, win 501, length 164
00:19:00.832641 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 6788:6824, ack 1, win 501, length 36
00:19:00.832673 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 6824:6988, ack 1, win 501, length 164
00:19:00.832700 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 6988:7024, ack 1, win 501, length 36
00:19:00.832732 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 7024:7188, ack 1, win 501, length 164
00:19:00.832759 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 7188:7224, ack 1, win 501, length 36
00:19:00.832791 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 7224:7388, ack 1, win 501, length 164
00:19:00.832815 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 7388:7424, ack 1, win 501, length 36
00:19:00.832846 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 7424:7588, ack 1, win 501, length 164
00:19:00.832870 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 7588:7624, ack 1, win 501, length 36
00:19:00.832901 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 7624:7788, ack 1, win 501, length 164
00:19:00.832925 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 7788:7824, ack 1, win 501, length 36
00:19:00.832956 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 7824:7988, ack 1, win 501, length 164
00:19:00.832982 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 7988:8024, ack 1, win 501, length 36
00:19:00.833014 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 8024:8188, ack 1, win 501, length 164
00:19:00.833040 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 8188:8224, ack 1, win 501, length 36
00:19:00.833071 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 8224:8388, ack 1, win 501, length 164
00:19:00.833118 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 8388:8424, ack 1, win 501, length 36
00:19:00.833163 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 8424:8588, ack 1, win 501, length 164
00:19:00.833200 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 8588:8624, ack 1, win 501, length 36
00:19:00.833245 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 8624:8788, ack 1, win 501, length 164
00:19:00.833275 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 8788:8824, ack 1, win 501, length 36
00:19:00.833316 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 8824:8988, ack 1, win 501, length 164
00:19:00.833348 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 8988:9024, ack 1, win 501, length 36
00:19:00.833380 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 9024:9188, ack 1, win 501, length 164
00:19:00.833403 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 9188:9224, ack 1, win 501, length 36
00:19:00.833433 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 9224:9388, ack 1, win 501, length 164
00:19:00.833458 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 9388:9424, ack 1, win 501, length 36
00:19:00.847307 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 9388, win 513, length 0
00:19:00.847377 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 9424:12344, ack 1, win 501, length 2920
00:19:00.847419 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 12344:12824, ack 1, win 501, length 480
00:19:00.847535 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 12824:12972, ack 1, win 501, length 148
00:19:00.847568 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 12972:13008, ack 1, win 501, length 36
00:19:00.847615 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 13008:13172, ack 1, win 501, length 164
00:19:00.847641 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 13172:13208, ack 1, win 501, length 36
00:19:00.847672 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 13208:13372, ack 1, win 501, length 164
00:19:00.847715 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 13372:13408, ack 1, win 501, length 36
00:19:00.847747 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 13408:13572, ack 1, win 501, length 164
00:19:00.847773 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 13572:13608, ack 1, win 501, length 36
00:19:00.847804 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 13608:13772, ack 1, win 501, length 164
00:19:00.847831 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 13772:13808, ack 1, win 501, length 36
00:19:00.847861 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 13808:13972, ack 1, win 501, length 164
00:19:00.847886 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 13972:14008, ack 1, win 501, length 36
00:19:00.847928 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 14008:14172, ack 1, win 501, length 164
00:19:00.847966 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 14172:14208, ack 1, win 501, length 36
00:19:00.847997 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 14208:14372, ack 1, win 501, length 164
00:19:00.848022 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 14372:14408, ack 1, win 501, length 36
00:19:00.848052 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 14408:14572, ack 1, win 501, length 164
00:19:00.848076 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 14572:14608, ack 1, win 501, length 36
00:19:00.848106 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 14608:14772, ack 1, win 501, length 164
00:19:00.848129 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 14772:14808, ack 1, win 501, length 36
00:19:00.848159 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 14808:14972, ack 1, win 501, length 164
00:19:00.848185 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 14972:15008, ack 1, win 501, length 36
00:19:00.848215 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 15008:15172, ack 1, win 501, length 164
00:19:00.848240 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 15172:15208, ack 1, win 501, length 36
00:19:00.848287 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 15208:15372, ack 1, win 501, length 164
00:19:00.848312 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 15372:15408, ack 1, win 501, length 36
00:19:00.848343 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 15408:15572, ack 1, win 501, length 164
00:19:00.848391 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 15572:15608, ack 1, win 501, length 36
00:19:00.861992 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 9424, win 513, length 0
00:19:00.862029 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [.], seq 15608:17068, ack 1, win 501, length 1460
00:19:00.867258 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 12344, win 513, length 0
00:19:00.867259 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 15572, win 513, length 0
00:19:00.867259 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [P.], seq 1:37, ack 15572, win 513, length 36
00:19:00.867287 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 17068:19392, ack 1, win 501, length 2324
00:19:00.867408 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 19392:19540, ack 37, win 501, length 148
00:19:00.867438 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 19540:19576, ack 37, win 501, length 36
00:19:00.867470 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 19576:19724, ack 37, win 501, length 148
00:19:00.867496 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 19724:19760, ack 37, win 501, length 36
00:19:00.867528 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 19760:19924, ack 37, win 501, length 164
00:19:00.867554 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 19924:19960, ack 37, win 501, length 36
00:19:00.867585 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 19960:20124, ack 37, win 501, length 164
00:19:00.867609 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 20124:20160, ack 37, win 501, length 36
00:19:00.867639 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 20160:20324, ack 37, win 501, length 164
00:19:00.867665 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 20324:20360, ack 37, win 501, length 36
00:19:00.867695 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 20360:20524, ack 37, win 501, length 164
00:19:00.867720 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 20524:20560, ack 37, win 501, length 36
00:19:00.867750 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 20560:20724, ack 37, win 501, length 164
00:19:00.867782 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 20724:20760, ack 37, win 501, length 36
00:19:00.867813 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 20760:20924, ack 37, win 501, length 164
00:19:00.867838 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 20924:20960, ack 37, win 501, length 36
00:19:00.867868 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 20960:21124, ack 37, win 501, length 164
00:19:00.867893 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 21124:21160, ack 37, win 501, length 36
00:19:00.867935 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 21160:21324, ack 37, win 501, length 164
00:19:00.867960 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 21324:21360, ack 37, win 501, length 36
00:19:00.868008 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 21360:21524, ack 37, win 501, length 164
00:19:00.868035 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 21524:21560, ack 37, win 501, length 36
00:19:00.868065 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 21560:21724, ack 37, win 501, length 164
00:19:00.868117 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 21724:21760, ack 37, win 501, length 36
00:19:00.868152 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 21760:21924, ack 37, win 501, length 164
00:19:00.868178 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 21924:21960, ack 37, win 501, length 36
00:19:00.868208 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 21960:22124, ack 37, win 501, length 164
00:19:00.868233 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 22124:22160, ack 37, win 501, length 36
00:19:00.874985 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 17068, win 513, length 0
00:19:00.875012 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 22160:25080, ack 37, win 501, length 2920
00:19:00.886925 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 22124, win 513, length 0
00:19:00.886966 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 25080:26144, ack 37, win 501, length 1064
00:19:00.887068 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 26144:26292, ack 37, win 501, length 148
00:19:00.887101 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 26292:26328, ack 37, win 501, length 36
00:19:00.887135 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 26328:26492, ack 37, win 501, length 164
00:19:00.887161 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 26492:26528, ack 37, win 501, length 36
00:19:00.887192 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 26528:26692, ack 37, win 501, length 164
00:19:00.887216 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 26692:26728, ack 37, win 501, length 36
00:19:00.887246 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 26728:26892, ack 37, win 501, length 164
00:19:00.887271 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 26892:26928, ack 37, win 501, length 36
00:19:00.887301 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 26928:27092, ack 37, win 501, length 164
00:19:00.887325 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 27092:27128, ack 37, win 501, length 36
00:19:00.887355 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 27128:27292, ack 37, win 501, length 164
00:19:00.887380 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 27292:27328, ack 37, win 501, length 36
00:19:00.887410 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 27328:27492, ack 37, win 501, length 164
00:19:00.887433 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 27492:27528, ack 37, win 501, length 36
00:19:00.887463 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 27528:27692, ack 37, win 501, length 164
00:19:00.887486 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 27692:27728, ack 37, win 501, length 36
00:19:00.887516 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 27728:27892, ack 37, win 501, length 164
00:19:00.887540 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 27892:27928, ack 37, win 501, length 36
00:19:00.887570 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 27928:28092, ack 37, win 501, length 164
00:19:00.887593 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 28092:28128, ack 37, win 501, length 36
00:19:00.887626 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 28128:28292, ack 37, win 501, length 164
00:19:00.887652 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 28292:28328, ack 37, win 501, length 36
00:19:00.887681 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 28328:28492, ack 37, win 501, length 164
00:19:00.887705 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 28492:28528, ack 37, win 501, length 36
00:19:00.887735 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 28528:28692, ack 37, win 501, length 164
00:19:00.887758 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 28692:28728, ack 37, win 501, length 36
00:19:00.887788 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 28728:28892, ack 37, win 501, length 164
00:19:00.887812 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 28892:28928, ack 37, win 501, length 36
00:19:00.888423 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 22160, win 513, length 0
00:19:00.888423 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 25080, win 513, length 0
00:19:00.888435 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 28928:31848, ack 37, win 501, length 2920
00:19:00.888454 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 31848:32128, ack 37, win 501, length 280
00:19:00.901821 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 28892, win 513, length 0
00:19:00.901821 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 30388, win 513, length 0
00:19:00.901870 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 32128:32896, ack 37, win 501, length 768
00:19:00.902000 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 32896:33044, ack 37, win 501, length 148
00:19:00.902048 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 33044:33080, ack 37, win 501, length 36
00:19:00.902102 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 33080:33228, ack 37, win 501, length 148
